Identifier,OmekaID,Thumbnail
4b14cf23-3493-48d9-94e5-0ed6bea23506,11929,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11929/P-III-a-0670_001.jpg
a19a0c81-e7f0-45d7-bce1-e87f59f26d13,12212,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12212/P-III-a-2760_001.jpg
fa2e2788-3883-403c-b9bc-dba25396e88f,11831,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11831/P-III-b-0627_001.jpg
485bbeb1-4f07-4155-85f1-4acd520ab08d,13498,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13498/P-III-a-1981_001.jpg
38e2df54-b51e-4da1-8a80-e863c2b68e9e,12215,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12215/P-III-a-2772_001.jpg
b0dc09d4-6864-4e30-ba1a-5e63a9d90f5e,12075,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12075/P-III-a-0680_001.jpg
278fedbc-e5b8-4459-ae07-273090dcd7fe,13423,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13423/P-III-a-2082_001.jpg
c34d48a6-5d86-4f0d-8063-41894cc0ff04,12047,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12047/P-III-b-0958_001.jpg
9de6753a-99e0-47d1-a460-6bcac5b0028b,11603,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11603/P-III-b-0792_001.jpg
3a40107c-3c59-44d6-9ae2-dccdc5c81d63,11193,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11193/P-III-b-0237_001.jpg
a62bb35c-2d55-4790-adea-c64f2af6d6c1,11089,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11089/P-III-a-2238_001.jpg
7846fe01-dfe0-48b8-bc49-737cbcb6fe29,12553,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12553/P-III-a-3411_001.jpg
cf2c7369-615e-46d0-bdb7-503a41189ac6,11662,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11662/P-III-a-1121_001.jpg
225b6f16-4519-45aa-b138-6e71c9cd04cf,11431,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11431/P-III-b-0923_001.jpg
d6147fd7-d4d9-49a5-a546-d46369295dc0,11731,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11731/P-III-c-045_001.jpg
ba72acec-eb76-47a2-a24e-c96584b951f6,10890,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/10890/P-III-b-0028_001.jpg
dcd50268-f894-4209-908c-92fa6a7639e5,10822,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/10822/P-III-b-0022_001.jpg
7c97ab56-bbb2-424c-93fc-575d4b4e9b6c,12534,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12534/P-III-a-2832_001.jpg
f18ed92e-dfe1-4214-b6c3-11fa2d5dbe68,12071,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12071/P-III-a-0702_001.jpg
89e0fc17-f424-4c8f-ac93-081b490cf2fd,12031,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12031/P-III-a-0682_001.jpg
95687313-4bc3-4896-b14e-510ba5bc7aee,13596,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13596/P-III-a-2434_001.jpg
b0c5e832-ee91-43e9-a359-ea4bdb5bd77c,11966,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11966/P-III-a-0658_001.jpg
18785054-ff23-4033-88d4-c35fe3212268,13408,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13408/P-III-a-2074_001.jpg
46b414ba-fa4b-474d-9fc6-54bf356aedbd,11944,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11944/P-III-a-0652_001.jpg
e6038329-96ef-437b-a87f-bcfb9fe6360d,11688,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11688/P-III-a-0780_001.jpg
f32dd40a-4e01-4dda-a3c5-bcb72ba34495,11834,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11834/P-III-a-1069_001.jpg
6c52db81-afee-481d-993c-61f2f4508efe,11142,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11142/P-III-b-0894_001.jpg
6f0c056b-1fda-4ef9-80b9-ee69859438ab,12873,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12873/P-III-b-0374_0001.jpg
881f5e3b-a310-4e97-95df-11c86688b878,13567,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13567/P-III-c-267_001.jpg
2d1533af-c45f-4cb7-b94e-22558bf9c793,13092,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13092/P-III-c-167_001.jpg
7dc9b6b6-386e-4fc5-8619-c41db801887d,12039,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12039/P-III-c-429_001.jpg
02d5296a-8fbd-473d-80b8-35b163245c42,11712,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11712/P-III-a-3260_001.jpg
1aef25f3-55b8-4729-85b4-d21ff7b1cd62,10900,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/10900/P-III-a-0150_0001.jpg
85cefc04-c992-45e7-8cf8-78ab155b245c,12012,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12012/P-III-a-0686_001.jpg
47d383bc-2b03-4ee0-9715-7b41496d7a25,13471,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13471/P-III-a-0049_001.jpg
36d58575-a412-4e9e-9874-12db45138f6d,12660,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12660/P-III-b-0453_001.jpg
3c306ef2-6f89-40af-a85e-ff2ee7ba9d7a,13405,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13405/P-III-b-0341_0001.jpg
5de11275-729d-46df-bee7-0eff9459a1ef,11064,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11064/P-III-c-127_001.jpg
55e1cfb7-5ec3-4805-9f71-0424842eaef9,12759,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12759/P-III-a-1687_001.jpg
78d60248-a67f-4426-8b9e-3ed201018131,12900,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12900/P-III-c-186_001.jpg
1608b70d-3e2d-4513-85fc-acae06c8aa88,11369,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11369/P-III-a-0832_001.jpg
585c2319-0a7e-496b-9a1c-0d9b04a2f962,12173,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12173/P-III-b-1105_001.jpg
